CANANEIA,CANENEIA SOROCABA
SAO PAULO,SAO PAULO PAULO
SAO SIMAO,SAO SIMAO PRETO
GUAXUPE,GUAXUPE PARAISO
FRUTAL,FRUTAL PARANAIBA
ESTIVA,ESTIVA ALEGRE
RIO PRETO,RIO PRETO FORA
CORREGO FUNDO,CORREGO FUNDO FORMIGA
POMPEU,POMPEU MARIAS
SANTA BARBARA,SANTA BARBARA ITABIRA
CANTAGALO,CANTAGALO DOCE
LARANJAL,LARANJAL MATA
GRAO MOGOL,GRAO MOGOL NORTE
FRANCISCO BADARO,FRANCISCO BADARO CAPELINHA
FRANCISCOPOLIS,FRANCISCOPOLIS OTONI
GOVERNADOR VALADARES,GOVERNADOR VALADARES DOCE
ENGENHEIRO CALDAS,ENGENHEIRO CALDAS DOCE
GOIABEIRA,GOIABEIRA DOCE
FREI GASPAR,FREI GASPAR OTONI
FRONTEIRA DOS VALES,FRONTEIRA DOS VALES NANUQUE
FRUTA DE LEITE,FRUTA DE LEITE SALINAS
ESPINOSA,ESPINOSA JANAUBA
CACHOEIRA DOURADA,CACHOEIRA DOURADA ITUIUTABA
